Proveedor,Factura_Numero,Mes_Servicio,Anexo,Cliente,Tipo_Factura,Monto_Teórico,Monto_Factura,Monto_Certificado,Monto_Pagado,OC_Numero,Certificacion_Numero,Fecha_Envio_Certificacion,SAP_Documento,Fecha_Envio_Factura,Fecha_Obligacion_Pago,Fecha_Programada_Pago,Fecha_Desembolso,Estado_Factura,Control_Estado,Responsable_Bloqueo,Responsable_Gestion,Accion,Comentario_Gestion
CSI Renting,Pendiente,2025-02-01,7,INTEGRATEL PERÚ, BUYOUT ,8302.00,8302.00,8302.00,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-02-01,10,PESQUERA EXALMAR S.A.A., BUYOUT ,5174.00,5174.00,5174.00,0.00,9406099594,0,,0,,,,,PENDIENTE_CERTIFICACION,VENCIDA,,,Regularizar certificación,
CSI Renting,Pendiente,2025-10-01,5,ACEROS AREQUIPA, ADICIONAL ,472.45,472.45,472.45,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-11-01,5,ACEROS AREQUIPA, ADICIONAL ,472.45,472.45,472.45,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-12-01,5,ACEROS AREQUIPA, ADICIONAL ,472.45,472.45,472.45,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-03-01,7,INTEGRATEL PERÚ, ADICIONAL ,1150.43,1150.43,1150.43,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-04-01,7,INTEGRATEL PERÚ, ADICIONAL ,1150.43,1150.43,1150.43,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-05-01,7,INTEGRATEL PERÚ, ADICIONAL ,1150.43,1150.43,1150.43,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-06-01,7,INTEGRATEL PERÚ, ADICIONAL ,1150.43,1150.43,1150.43,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
CSI Renting,Pendiente,2025-07-01,7,INTEGRATEL PERÚ, ADICIONAL ,1150.43,1150.43,1150.43,0.00,0,0,,0,,,,,PENDIENTE_OC,VENCIDA,,,Solicitar emisión de OC,
